epoch,accuracy,loss,val_accuracy,val_loss
0,0.6514833569526672,1.293187141418457,0.9355000257492065,0.04408562183380127
1,0.9574333429336548,0.030448846518993378,0.9724000096321106,0.020061226561665535
2,0.9762499928474426,0.017310859635472298,0.9807000160217285,0.014166122302412987
3,0.9851333498954773,0.011767146177589893,0.9850000143051147,0.011763878166675568
4,0.9893500208854675,0.008515638299286366,0.9860000014305115,0.010054639540612698
5,0.9923833608627319,0.006441016215831041,0.9850999712944031,0.010204755701124668
6,0.9940500259399414,0.005227636080235243,0.9876000285148621,0.009072643704712391
7,0.9957000017166138,0.0038142779376357794,0.9872000217437744,0.009704253636300564
8,0.996749997138977,0.003180260304361582,0.9890000224113464,0.008807404898107052
9,0.997783362865448,0.002367092063650489,0.988099992275238,0.009024417959153652
10,0.9983833432197571,0.0020286403596401215,0.9894000291824341,0.008599262684583664
11,0.9992499947547913,0.0012443617451936007,0.989300012588501,0.008491236716508865
12,0.9992333054542542,0.0010817284928634763,0.9894000291824341,0.008355124853551388
13,0.9992166757583618,0.0011009795125573874,0.9901000261306763,0.008950687944889069
14,0.9995999932289124,0.000724540906958282,0.989799976348877,0.009096797555685043
15,0.9998000264167786,0.0005718141910620034,0.9901000261306763,0.008957057259976864
16,0.9998499751091003,0.00048788514686748385,0.989799976348877,0.009097321890294552
17,0.9999666810035706,0.00031631076126359403,0.9902999997138977,0.00936179794371128
18,0.9999833106994629,0.00019201109535060823,0.9902999997138977,0.00917760655283928
19,0.9999833106994629,0.00014463180559687316,0.989799976348877,0.009198276326060295
